commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
be57de08c2e86a35e3f3f3c89e554842bc216354,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e63f0fa350fc8b1f77e302e551a8fad55dc61e5d,1
f621e01edfd651c1b8239d0c16029372347e342f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e63f0fa350fc8b1f77e302e551a8fad55dc61e5d,1
0aef5cbec26e6a17dd375a6e47e8469c5d06922e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e63f0fa350fc8b1f77e302e551a8fad55dc61e5d,1
cd8e62e1dff807f1082c720ceb346d50de605611,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e63f0fa350fc8b1f77e302e551a8fad55dc61e5d,2
e63f0fa350fc8b1f77e302e551a8fad55dc61e5d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b84f7f62e9a98ea64af8c19ec7c8833ce196a677,1
d48fa61581b3daefe1b680d54b5b867f11a0a4fc,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b84f7f62e9a98ea64af8c19ec7c8833ce196a677,2
1cc8d7a120ff6bccea02954b9224d399687f3a74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b84f7f62e9a98ea64af8c19ec7c8833ce196a677,2
9b58f891623add857de8e49a07d56f40457f13d4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7544b036b505f5c0db7d4ffbb203f96b385d7ae1,1
3a03ba9b3335c0c1bb88cfb47b4628f21ef93409,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7544b036b505f5c0db7d4ffbb203f96b385d7ae1,1
a91120de4a11f211635253a349cfe68587e13c72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7544b036b505f5c0db7d4ffbb203f96b385d7ae1,2
b3790f824cd63e092089020cc91c79dd431672a3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cf5116901893d40666a814fd9cec5b4b4725a529,1
3e7b0ce3f38dac9aa8f4ccc49a9c4f7d2995a6f3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cf5116901893d40666a814fd9cec5b4b4725a529,2
1a7606924740ce330a307a9bf1680bf3e007b92e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48e1943f9b66932ddea98f4c940dad3945d01a73,1
f22320ddda4e08b3a710d1dffb469344914ce58a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48e1943f9b66932ddea98f4c940dad3945d01a73,2
81fc67cd5f6b16271e7f34cc098db2d393b4296d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,aa3200b9a0932c19da85eb6c664d79579195caf0,1
8da9e15322c16ab1f96276619d6ee864996bdd76,0,0,0,0,0,0,0.0,0.0,0.0,0.0,aa3200b9a0932c19da85eb6c664d79579195caf0,2
6adefe79cae647b919bf09b814f328e6ec9a0e65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,747fddda0404c37bc13b27fb96274ec1339dde17,1
48e1943f9b66932ddea98f4c940dad3945d01a73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,747fddda0404c37bc13b27fb96274ec1339dde17,2
aa3200b9a0932c19da85eb6c664d79579195caf0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2299c0b0c26fce577f2b9fd64c11303c7b96d175,1
ddd0b69f8f8a523165ef90cd98d6010222a6164c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2299c0b0c26fce577f2b9fd64c11303c7b96d175,2
2299c0b0c26fce577f2b9fd64c11303c7b96d175,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b582672521926bacebcbdb8ae4e3c5abd6dea03d,1
